"Date","Sessions","New.Devices","Day.1","Day.3","Day.7","Day.1..","Day.3..","Day.7..","Average.Revenue.per.Device.Daily","Average.Revenue.per.Device.Monthly","Average.Revenue.per.Paid.User.Daily","Average.Revenue.per.Paid.User.Monthly","Daily.Active.Devices","Monthly.Active.Devices","Sticky.Factor","rank"
"2014-04-01",906,29,13,8,7,44.83,27.59,24.14,0.072,0.141,10.653,11.366,443,3866,0.11,3338
"2014-04-02",1099,31,15,8,3,48.39,25.81,9.68,0.028,0.144,4.317,11.553,470,3858,0.12,3586
"2014-04-03",916,42,10,10,4,23.81,23.81,9.52,0.025,0.137,3.987,11.015,471,3860,0.12,3382
"2014-04-04",906,28,8,10,7,28.57,35.71,25,0.015,0.135,2.323,10.689,462,3871,0.12,3513
"2014-04-05",943,42,16,12,3,38.1,28.57,7.14,0.027,0.134,2.582,10.394,476,3893,0.12,3659
"2014-04-06",838,29,3,3,4,10.34,10.34,13.79,0.017,0.133,3.96,10.171,471,3888,0.12,3519
"2014-04-07",1070,30,8,6,3,26.67,20,10,0.011,0.133,2.475,10.464,443,3850,0.12,3583
"2014-04-08",803,26,8,7,2,30.77,26.92,7.69,0.043,0.129,6.31,10.424,443,3784,0.12,3438
"2014-04-09",920,31,16,10,6,51.61,32.26,19.35,0.025,0.128,10.97,10.392,434,3729,0.12,3187
"2014-04-10",841,25,9,4,1,36,16,4,0.067,0.134,14.455,10.695,429,3675,0.12,3556
"2014-04-11",740,25,6,8,3,24,32,12,0.021,0.137,2.228,10.781,422,3625,0.12,3231
"2014-04-12",852,27,13,3,7,48.15,11.11,25.93,0.024,0.129,2.733,10.744,455,3593,0.13,3362
"2014-04-13",859,32,10,6,6,31.25,18.75,18.75,0.037,0.129,2.978,10.34,398,3531,0.11,3537
"2014-04-14",861,42,15,10,5,35.71,23.81,11.9,0.007,0.125,1.485,10,437,3439,0.13,3090
"2014-04-15",954,44,16,4,6,36.36,9.09,13.64,0.005,0.123,1.98,10.401,430,3378,0.13,2982
"2014-04-16",885,38,16,6,4,42.11,15.79,10.53,0.022,0.12,1.782,10.258,413,3344,0.12,2890
"2014-04-17",860,26,8,6,5,30.77,23.08,19.23,0.018,0.121,2.653,9.55,438,3316,0.13,3363
"2014-04-18",939,41,19,9,8,46.34,21.95,19.51,0.011,0.117,0.99,9.194,461,3308,0.14,3548
"2014-04-19",830,42,19,7,4,45.24,16.67,9.52,0.013,0.112,2.99,9.417,447,3284,0.14,2946
"2014-04-20",993,33,8,5,5,24.24,15.15,15.15,0.009,0.109,1.32,9.085,439,3251,0.14,3025
"2014-04-21",1046,28,10,5,5,35.71,17.86,17.86,0.045,0.112,3.572,9.236,400,3225,0.12,2887
"2014-04-22",905,35,12,5,2,34.29,14.29,5.71,0.024,0.116,2.485,9.951,414,3176,0.13,4086
"2014-04-23",904,35,10,3,1,28.57,8.57,2.86,0.014,0.111,2.99,10.064,442,3164,0.14,3665
"2014-04-24",1043,22,6,4,3,27.27,18.18,13.64,0.117,0.123,9.184,11.092,392,3155,0.12,3198
"2014-04-25",834,25,10,6,2,40,24,8,0.068,0.128,5.378,11.462,393,3133,0.13,3609
"2014-04-26",864,27,14,5,3,51.85,18.52,11.11,0.03,0.126,5.98,11.205,393,3103,0.13,4134
"2014-04-27",762,26,9,3,4,34.62,11.54,15.38,0.046,0.132,4.733,11.547,412,3052,0.13,4044
"2014-04-28",746,23,10,5,3,43.48,21.74,13.04,0.018,0.137,3.465,11.974,388,2971,0.13,4322
"2014-04-29",791,23,10,5,4,43.48,21.74,17.39,0.046,0.143,4.488,12.18,391,2904,0.13,3855
"2014-04-30",798,16,6,2,4,37.5,12.5,25,0.031,0.144,5.985,12.489,389,2858,0.14,3947
"2014-05-01",755,19,5,1,1,26.32,5.26,5.26,0.003,0.139,0.99,12.35,376,2841,0.13,3947
"2014-05-02",777,26,7,5,2,26.92,19.23,7.69,0.063,0.137,7.643,12.872,365,2823,0.13,3752
"2014-05-03",888,19,10,3,0,52.63,15.79,0,0.063,0.142,3.264,12.776,364,2792,0.13,3829
"2014-05-04",699,22,4,1,2,18.18,4.55,9.09,0.03,0.144,2.733,12.743,369,2747,0.13,4392
"2014-05-05",632,23,13,6,7,56.52,26.09,30.43,0.044,0.149,5.323,12.626,361,2710,0.13,3945
"2014-05-06",846,24,7,4,2,29.17,16.67,8.33,0.04,0.152,2.127,12.303,368,2672,0.14,3915
"2014-05-07",774,28,10,8,4,35.71,28.57,14.29,0.094,0.162,6.974,12.734,371,2668,0.14,3913
"2014-05-08",931,25,12,3,3,48,12,12,0.091,0.175,6.984,14.028,383,2646,0.14,3661
"2014-05-09",720,26,10,7,4,38.46,26.92,15.38,0.028,0.172,4.99,13.352,352,2640,0.13,3348
"2014-05-10",732,27,9,5,4,33.33,18.52,14.81,0.005,0.168,0.99,12.714,410,2641,0.16,4043
"2014-05-11",918,35,9,4,2,25.71,11.43,5.71,0.045,0.164,4.735,12.429,423,2654,0.16,3618
"2014-05-12",669,31,10,6,3,32.26,19.35,9.68,0,0.162,0,12.533,373,2638,0.14,3565
"2014-05-13",721,18,8,4,3,44.44,22.22,16.67,0.044,0.164,4.24,12.347,385,2630,0.15,3786
"2014-05-14",878,20,5,4,4,25,20,20,0.056,0.169,4.38,12.199,390,2597,0.15,3631
"2014-05-15",681,22,5,3,0,22.73,13.64,0,0.005,0.17,1.98,12.171,365,2579,0.14,3473
"2014-05-16",827,21,7,4,1,33.33,19.05,4.76,0.089,0.183,9.24,13.143,415,2579,0.16,3887
